	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5	day30_rep2_tbx5	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
HNRNPCL1	1	5	1	4	3	2
PRAMEF2	2	0	0	2	0	0
PRAMEF4	2	1	0	0	0	0
PRAMEF10	2	3	0	0	3	1
PRAMEF7	0	0	0	1	0	0
PRAMEF6	0	2	0	0	0	0
PRAMEF27	0	1	0	0	0	0
HNRNPCL3	0	0	0	1	1	0
PRAMEF25	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
HNRNPCL2	4	1	0	0	0	0
PRAMEF36P	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL4	0	0	1	0	3	4
PRAMEF9	2	4	2	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF8	1	0	1	0	0	0
PRAMEF33	0	2	1	0	2	0
PRAMEF15	0	3	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	0	2	0	0	0	0
PRAMEF17	0	3	0	0	0	0
PRAMEF20	0	3	0	0	0	1
LRRC38	20	3	3	6	1	1
LOC102724856	0	0	0	2	0	0
LOC107984918	0	0	0	0	0	0
PDPN	3114	1722	3752	1714	2214	2657
LOC105378612	1	3	0	0	0	0
LOC105376756	0	0	0	0	0	0
LOC124900446	0	0	0	0	0	0
PRDM2	1703	2076	2118	1578	1739	2057
KAZN	725	497	1080	1080	549	845
LOC107985467	5	22	5	0	11	5
LOC124903847	0	15	1	3	5	0
KAZN-AS1	0	0	0	0	1	0
LOC124903850	3	7	0	1	2	2
LOC105376759	0	4	1	0	0	0
LOC124903848	10	9	14	9	13	4
LOC107985469	0	0	0	0	0	2
LOC124903849	0	0	0	0	0	0
TMEM51-AS1	11	7	7	17	10	24
TMEM51	758	238	484	606	268	592
TMEM51-AS2	0	1	1	2	2	1
FHAD1	10	10	10	6	13	27
LOC124903853	1	0	0	0	2	1
LOC124903852	0	1	0	0	0	5
FHAD1-AS1	2	4	0	1	3	5
LOC124903851	2	1	0	2	0	1
EFHD2-AS1	2	5	3	5	7	7
