	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5	day30_rep2_tbx5	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
MTFR1L	701	971	1186	2063	1675	1880
LOC646471	166	119	286	483	183	278
AUNIP	121	83	52	62	99	73
PAQR7	724	1232	595	564	254	414
STMN1	4965	1932	4106	7353	9201	6738
MIR3917	0	1	1	1	0	0
LOC105376885	0	0	0	0	0	0
PAFAH2	387	734	450	569	524	459
LOC124900433	1	0	0	0	1	0
EXTL1	200	49	1592	3708	1961	1382
SLC30A2	24	17	32	41	52	24
LOC105376910	0	4	3	5	5	3
TRIM63	183	399	2508	5527	8499	7255
PDIK1L	138	207	256	196	442	327
FAM110D	106	31	177	471	76	88
C1orf232	0	0	2	5	7	2
ZNF593OS	24	19	18	28	11	8
ZNF593	63	99	18	82	81	102
CNKSR1	131	388	123	90	86	57
CATSPER4	0	8	3	1	1	0
LOC124903882	0	1	0	5	1	2
ZPLD2P	0	11	3	13	8	10
CEP85	699	463	837	1233	847	831
SH3BGRL3	7144	5460	2150	2896	465	957
UBXN11	410	202	479	835	413	490
CD52	2	4	0	0	0	0
CRYBG2	121	124	27	5	6	11
ZNF683	2	3	0	0	0	0
LIN28A	875	402	2	3	139	1
LOC124903883	4	31	9	16	1	1
DHDDS	1836	2019	1822	1913	918	1429
DHDDS-AS1	4	8	4	8	9	11
HMGN2	6152	7822	6897	9492	6957	7051
LOC124903884	0	0	0	0	0	0
RPS6KA1	574	1221	348	332	448	509
MIR1976	0	0	0	0	0	0
LOC124904769	0	0	0	0	0	0
LOC124904813	0	0	0	0	0	0
LOC105376888	1	0	1	0	0	1
LOC124900417	39	36	64	91	35	53
LOC101928728	0	0	0	0	0	0
ARID1A	6099	11224	7698	8830	5108	5729
PIGV	179	178	345	374	210	338
ZDHHC18	1496	1132	1028	1351	635	929
SFN	177	13	9	1	2	6
GPN2	1201	4771	1203	1572	1558	1720
GPATCH3	388	1105	402	475	407	465
NUDC	4684	9482	3115	4073	3662	3874
NR0B2	8	4	22	19	4	0
KDF1	50	33	42	18	4	3
OSTCP2	0	6	0	2	3	4
TRNP1	1227	2920	1213	1987	721	1075
TENT5B	960	1509	415	645	376	554
LOC101928391	1	11	6	14	2	2
SLC9A1	1522	3305	1704	1968	531	1437
LOC102723760	0	1	0	0	0	0
WDTC1-DT	0	0	0	0	0	0
WDTC1	1189	1869	2586	4351	1884	2307
TMEM222	1187	3281	1219	1835	1280	1230
ACTG1P20	60	83	48	51	27	51
SYTL1	103	132	249	102	92	129
MAP3K6	490	201	670	833	296	636
FCN3	3	3	3	5	2	3
CD164L2	1	1	4	0	0	3
GPR3	61	164	26	87	22	58
WASF2	3891	7917	3505	5124	3453	4919
LOC105376892	2	3	4	15	13	15
AHDC1	2365	2116	3368	4438	2433	3243
FGR	0	3	0	0	0	0
LINC02574	0	0	0	0	0	0
IFI6	361	870	739	977	800	917
FAM76A	266	126	186	313	366	421
STX12	1707	1444	1365	1415	1388	2003
LOC124903885	1	2	1	0	1	0
PPP1R8	1389	2018	1128	1379	1809	1668
SCARNA1	3	0	0	2	1	2
THEMIS2	19	37	7	14	15	10
RPA2	842	1375	993	1346	1446	1066
SMPDL3B	76	80	543	401	262	314
XKR8	634	1546	443	425	249	249
EYA3	1052	1997	903	819	1159	1521
PTAFR	72	94	5	7	12	5
DNAJC8	3290	7086	2969	3702	5539	4675
ATP5IF1	2183	3628	3013	5969	5041	5015
SESN2	1916	6075	3230	3328	2097	3367
MED18	412	931	420	524	500	527
PHACTR4	1597	1938	1859	1717	1747	1855
SNHG3	1133	717	388	535	357	404
RCC1	1669	3493	891	944	778	784
SNORA73A	41	55	54	34	7	21
SNORA73B	18	20	32	18	3	11
LOC124904836	3	3	2	0	0	0
TRNAU1AP	549	484	377	683	782	609
SNHG12	515	495	237	220	460	367
SNORD99	10	5	2	7	10	8
SNORA61	0	0	0	0	0	0
SNORA44	4	3	3	1	0	3
SNORA16A	31	15	8	15	6	15
RAB42	103	59	57	125	66	91
TAF12	521	1433	674	627	792	706
TAF12-DT	1	2	3	2	5	4
RNU11	0	0	0	0	0	0
GMEB1	561	528	498	520	389	480
LOC124904809	0	1	0	1	0	0
YTHDF2	2554	5693	2537	2600	3306	3393
OPRD1	16	58	61	33	23	13
EPB41	1000	1569	1453	1261	1648	872
LOC124903886	0	0	0	0	0	0
TMEM200B	1624	948	887	1482	21	237
SRSF4	3561	7516	2893	3499	3462	3791
MECR	538	451	806	1118	618	778
LOC124903887	0	1	2	2	4	2
PTPRU	1392	1182	4696	4209	778	1835
LINC01756	1	2	0	0	0	0
LOC107984933	1	1	0	1	1	1
LOC107984934	0	0	0	0	0	0
LINC01648	0	0	0	1	0	1
LOC105378617	1	0	0	0	0	0
LOC105378618	1	1	0	0	2	0
LOC124903888	0	0	0	1	0	0
MATN1	40	181	77	48	10	41
MATN1-AS1	24	93	46	49	22	48
LAPTM5	7	5	6	3	1	6
MIR4420	0	0	0	0	0	0
LOC105378620	0	2	0	0	0	0
LOC105378621	0	0	0	0	1	0
LINC01778	19	13	27	20	237	115
LOC400748	0	0	0	0	0	0
SDC3	8478	2789	9590	12823	5159	6289
PUM1	3568	9452	4825	4336	4995	5727
SNORD103A	0	4	2	2	0	0
SNORD103B	5	6	4	2	2	1
SNORD103C	0	5	0	1	1	1
LOC124904579	0	0	0	0	0	0
LOC107984935	6	3	0	4	4	9
NKAIN1	158	31	110	127	514	40
SNRNP40	1252	1815	1040	1080	1529	1355
ZCCHC17	1287	1769	1044	1454	1477	1277
FABP3	1471	1088	5357	15452	21346	21897
LOC124903892	5	9	3	3	7	2
LOC105378623	0	0	0	1	0	0
SERINC2	371	497	408	713	360	301
LOC124903900	2	1	1	3	1	2
LOC105378625	0	3	0	1	0	1
LOC105379772	0	1	0	0	1	0
LDC1P	0	0	1	0	0	0
LINC01226	0	0	0	0	0	0
LOC124903917	3	1	3	1	5	1
LOC105378626	17	11	49	30	8	15
TINAGL1	716	644	2095	2700	501	441
HCRTR1	26	35	33	136	38	35
PEF1	805	2075	710	1226	1351	1329
PEF1-AS1	16	19	35	42	35	42
COL16A1	1746	372	9272	12819	2224	8341
LOC101929444	45	5	124	183	59	200
ADGRB2	1704	683	5742	11993	7525	7114
MIR4254	0	0	0	0	0	0
LOC124903930	1	0	0	1	0	2
SPOCD1	1654	24	24	43	12	18
PTP4A2	7120	5764	4603	7464	5313	7145
LOC128031832	0	0	0	0	0	0
KHDRBS1	5625	5468	5613	6343	6224	6335
TMEM39B	427	343	469	630	370	479
MIR5585	2	0	0	4	1	0
KPNA6	4587	6916	5137	5125	4569	5577
TXLNA	2098	3857	2620	2191	1067	1890
CCDC28B	623	364	989	2048	726	817
IQCC	120	74	133	213	203	161
DCDC2B	9	8	22	24	17	15
TMEM234	303	292	504	557	284	291
EIF3I	4974	9311	4049	5141	4176	4772
MTMR9LP	93	65	136	341	37	90
FAM167B	13	15	14	58	10	24
LCK	9	1	7	2	0	1
HDAC1	2574	2009	2723	2909	1846	1998
MARCKSL1	11124	6204	10048	15749	6228	4464
LOC124903949	16	10	4	19	3	3
LOC105378629	0	6	1	3	2	3
LOC124903933	83	64	151	331	105	110
FAM229A	77	117	144	206	49	65
TSSK3	95	135	153	183	99	89
BSDC1	2556	4880	4459	4446	2109	2946
ZBTB8B	154	58	437	635	197	196
ZBTB8A	851	820	917	1417	630	887
LOC124903952	2	9	0	2	2	0
LOC102723870	12	59	29	24	23	27
ZBTB8OS	561	856	542	597	874	713
RBBP4	2794	5615	3554	3756	4707	4862
SYNC	173	75	587	545	558	617
KIAA1522	2856	3893	4161	3788	1267	1995
YARS1	3426	5370	6759	6141	3286	5203
S100PBP	763	644	1036	1159	908	1096
FNDC5	159	76	1414	1892	652	869
LOC105378631	3	9	0	2	0	0
HPCA	7	23	13	16	8	2
TMEM54	141	471	371	798	385	460
LOC105378632	0	1	0	0	0	0
RNF19B	810	3266	845	1109	1695	2073
LOC107984936	2	2	4	3	1	0
AK2	2968	4927	3539	4350	5084	4858
LOC124903969	0	2	0	0	1	0
LOC105378635	1	0	0	0	0	1
AZIN2	97	189	443	544	241	636
ZNF362	1539	629	2846	4674	1163	1656
TRIM62	331	351	471	514	133	297
A3GALT2	2	5	2	7	1	3
PHC2	3852	2505	2878	5139	3327	4449
MIR3605	6	4	2	3	0	0
PHC2-AS1	4	1	2	3	2	0
ZSCAN20	368	853	424	336	302	397
CSMD2	62	20	269	171	30	115
LOC124903976	0	2	0	0	1	0
HMGB4	1	0	0	0	0	0
CSMD2-AS1	0	0	0	0	0	0
C1orf94	3	2	0	0	1	0
LOC105378639	1	4	0	0	0	2
LOC105378641	0	5	0	0	0	1
MIR552	0	0	0	0	0	0
LOC105378642	3	11	1	1	4	2
GJB5	1	21	3	1	1	1
GJB4	0	8	1	0	0	1
GJB3	4	20	2	2	1	0
GJA4	16	0	10	63	5	0
SMIM12	1830	2142	1288	2062	1063	1173
DLGAP3	41	85	104	94	77	17
GPR199P	79	60	119	150	33	66
TMEM35B	302	381	347	362	140	327
ZMYM6	480	698	777	600	686	786
LOC124903990	0	2	0	0	0	1
ZMYM1	531	555	416	417	536	625
LOC105378644	2	6	14	9	58	12
SFPQ	9218	12462	11246	11128	11398	11737
ZMYM4	1968	1850	2254	2012	4259	4074
LOC124900419	0	0	1	0	0	0
ZMYM4-AS1	1	0	2	0	5	0
KIAA0319L	1666	1661	2758	4267	2934	3471
NCDN	1249	2327	2440	2833	1397	2112
TFAP2E-AS1	4	13	8	31	8	14
TFAP2E	20	47	61	105	56	47
PSMB2	3528	5236	2926	3472	3462	3241
LOC105378646	0	0	0	0	0	0
C1orf216	216	107	181	304	260	413
CLSPN	914	132	313	385	747	599
AGO4	694	772	1340	1909	1985	1911
AGO1	1843	1415	2945	3008	2001	2017
AGO3	762	1973	1216	1224	1138	1427
LOC105378647	1	1	1	3	2	1
TEKT2	23	39	14	25	57	23
ADPRS	1269	2793	954	1415	1348	1531
COL8A2	326	166	2215	2064	19	1485
TRAPPC3	1319	3365	1872	2264	1502	1831
MAP7D1	10844	9957	9661	13245	8725	11112
THRAP3	4957	8243	6160	5492	5296	6199
SH3D21	286	243	340	688	250	270
EVA1B	2	3	2	9	2	5
STK40	2756	2894	3648	5057	2358	2747
LOC124904012	33	21	15	30	27	37
LSM10	1005	1102	940	1652	936	977
LOC124904013	5	11	11	22	1	3
OSCP1	92	192	208	257	196	204
SNORA63C	1	0	0	2	0	2
LOC107984940	1	10	1	8	0	4
MRPS15	1371	3036	1059	1647	1733	1536
CSF3R	44	60	68	47	3	59
LOC107984941	0	0	0	0	0	0
LOC105378648	0	0	0	0	0	0
LOC124904023	1	0	0	0	0	0
GRIK3	18	5	1	9	297	4
LOC124904027	0	1	1	0	1	0
MIR4255	0	0	0	0	0	0
LOC107984942	0	0	0	0	0	0
ZC3H12A-DT	91	17	47	81	11	70
ZC3H12A	908	521	192	357	136	470
MIR6732	0	0	0	1	0	0
MEAF6	1172	1512	1355	1658	2586	2005
MIR5581	7	4	17	15	8	11
LOC105378649	1	5	0	1	1	0
SNIP1	530	1875	548	606	646	673
DNALI1	204	182	348	597	562	509
GNL2	2598	3886	2078	1627	2863	2908
RSPO1	48	55	241	34	5	107
C1orf109	614	1474	646	545	765	760
CDCA8	912	310	292	459	484	346
EPHA10	20	22	37	42	6	16
LOC124904835	0	0	0	0	0	0
LOC105378650	0	0	0	0	0	0
MANEAL	62	133	114	218	240	82
YRDC	801	2604	345	481	525	528
C1orf122	2025	4867	2974	5544	1964	1964
MTF1	585	2134	640	494	626	883
INPP5B	411	405	545	598	280	427
LOC124904043	2	5	3	3	3	1
LOC105378651	1	0	0	1	1	1
SF3A3	2346	3680	1856	2063	2887	2641
FHL3	1727	635	907	1091	247	938
UTP11	1458	2722	898	931	1770	1486
POU3F1	22	111	38	36	142	59
MIR3659HG	6	10	30	10	30	16
MIR3659	0	0	0	0	1	0
LINC02786	0	0	0	0	0	0
LOC105378654	0	4	0	3	3	3
LINC01343	0	0	0	0	0	0
LOC105378657	0	0	0	0	0	0
LOC107984943	0	0	0	0	0	0
LINC01685	0	0	0	0	0	0
LOC105378658	0	0	0	0	0	0
LOC105378660	0	0	0	0	0	0
RRAGC	797	2927	944	1054	1274	1825
GJA9-MYCBP	0	2	4	2	0	5
MYCBP	0	1	1	1	0	0
LOC105378663	0	0	0	0	0	0
GJA9	0	0	0	0	0	0
RHBDL2	3	7	12	4	7	9
LOC105378662	0	20	5	13	7	7
AKIRIN1	4297	8883	5244	5097	6311	6533
NDUFS5	4265	4772	4048	7861	7618	6708
LOC124904088	28	27	37	53	24	27
MACF1	14462	17913	20637	14711	19641	25769
LOC124904101	2	5	7	4	10	3
BMP8A	223	164	75	72	47	37
OXCT2P1	15	14	2	2	3	5
PPIEL	14	30	53	48	83	48
PABPC4	3488	5128	5024	6818	2790	4284
PABPC4-AS1	5	6	16	9	2	13
SNORA55	4	5	12	14	8	3
HEYL	191	25	359	1513	20	135
NT5C1A	42	16	610	358	23	454
HPCAL4	2051	52	2843	625	91	2455
PPIE	810	2402	1000	1404	1490	1324
BMP8B	205	135	34	37	34	29
OXCT2	6	8	3	1	1	2
BMP8B-AS1	0	0	0	0	0	0
LOC101929536	0	2	1	0	1	0
LOC105378667	2	3	0	1	2	1
TRIT1	435	763	331	402	783	706
MYCL-AS1	5	5	0	0	1	5
MYCL	130	51	97	138	185	50
MFSD2A	54	297	155	182	128	66
LOC105378669	0	8	3	4	9	9
CAP1	11224	8671	4477	4641	1804	3345
PPT1	1329	3264	1293	1785	1191	1421
LOC105378671	0	1	0	0	0	0
RLF	964	3952	885	751	2613	2681
TMCO2	0	3	0	1	0	1
ZMPSTE24	1697	2549	1523	1300	1272	1735
COL9A2	29	21	148	131	29	88
SMAP2	741	892	747	898	629	755
ZFP69B	104	53	111	100	74	113
ZFP69	102	87	116	113	132	102
EXO5-DT	11	20	13	20	22	24
EXO5	360	309	251	314	272	219
LOC124904149	2	4	3	0	0	3
ZNF684	88	112	141	209	195	193
LOC105378673	0	1	1	2	1	0
RIMS3	453	200	694	1746	940	1329
LOC105378675	11	9	15	13	21	25
NFYC-AS1	46	42	63	126	126	135
NFYC	1187	1483	2136	2910	3256	2476
MIR30E	0	0	0	0	0	0
MIR30C1	1	3	0	0	0	2
KCNQ4	19	20	16	53	79	53
LOC105378676	0	0	0	0	0	0
CITED4	193	370	550	1905	853	631
LOC124904157	1	3	1	0	0	0
CTPS1	2504	1812	1087	1196	1059	1260
SLFNL1-AS1	44	29	38	45	16	26
SLFNL1	26	17	25	25	8	14
SCMH1	1096	1080	1460	2151	2168	2157
LOC102723924	8	8	3	21	5	5
LOC124904158	0	1	2	3	20	15
LOC124904159	3	1	0	0	1	0
FOXO6	141	198	528	1166	479	559
FOXO6-AS1	1	1	1	3	9	5
LOC105378678	1	0	4	4	5	7
EDN2	23	27	26	38	47	44
HIVEP3	529	154	640	610	342	823
LOC128125817	0	0	0	0	0	0
LOC124904160	0	0	0	0	0	0
LOC124904161	0	0	0	0	0	0
GUCA2B	2	2	0	0	0	0
GUCA2A	79	12	0	1	0	0
FOXJ3	1257	2672	2103	2432	2087	2655
RIMKLA	55	61	284	487	1117	1323
ZMYND12	3	5	16	22	27	31
CCDC30	34	60	58	72	105	88
PPCS	444	609	714	1062	1239	1159
LOC124904162	3	8	2	6	1	4
PPIH	283	579	220	330	298	232
YBX1	20896	24678	21398	43899	33445	31454
CLDN19	30	15	18	10	3	3
P3H1	6450	4251	12841	10688	744	5086
C1orf50	472	783	557	795	978	834
TMEM269-DT	2	5	2	4	2	2
TMEM269	10	40	6	10	19	19
LOC107984946	4	13	1	2	7	7
SVBP	240	211	178	324	378	319
ERMAP	169	197	487	512	377	523
LOC124904163	37	24	45	59	45	40
ZNF691	239	260	370	394	312	363
LOC339539	0	1	1	1	6	0
SLC2A1	15554	2912	18186	13106	1776	3140
SLC2A1-DT	37	14	95	129	50	40
CFAP144	6	9	13	15	12	12
EBNA1BP2	2730	4099	1632	1233	1639	2017
MIR6733	0	0	1	0	1	0
CFAP57	15	15	17	16	41	36
LOC105378685	0	1	0	1	0	0
LOC124904164	0	2	0	1	0	0
TMEM125	61	284	59	35	5	4
C1orf210	36	23	29	4	2	1
TIE1	84	7	20	87	18	23
MPL	4	12	16	11	7	5
CDC20-DT	7	3	9	5	11	13
CDC20	1759	1005	506	887	1239	806
ELOVL1	3841	2948	1981	2139	818	1484
MIR6734	0	0	0	0	0	0
LOC112268225	130	65	61	73	43	89
MED8	1208	1613	1129	1042	782	1033
MED8-AS1	5	14	8	12	4	5
SZT2	1077	1159	1718	2113	851	1385
SZT2-AS1	0	0	0	0	0	0
MIR6735	0	0	0	0	0	0
HYI	0	0	0	0	0	0
HYI-AS1	0	3	1	2	1	1
PTPRF	13059	7941	12121	10376	2482	4801
KDM4A	1399	1897	2432	2056	1513	2080
LOC124904165	2	14	15	13	8	18
KDM4A-AS1	16	38	25	22	25	25
ST3GAL3	408	184	784	1222	726	830
ST3GAL3-AS1	0	1	2	1	2	3
LOC124904166	3	2	0	2	2	0
MIR6079	0	0	0	0	0	1
ARTN	28	37	9	21	11	17
LINC02918	5	7	3	5	4	4
LOC101929609	1	10	7	17	9	6
IPO13	1089	1614	1406	1641	857	1182
DPH2	935	1811	1003	1018	721	868
LOC124904167	7	43	12	17	25	17
ATP6V0B	3010	7679	2758	3936	2636	2599
B4GALT2	3997	3468	5279	7903	1595	2685
CCDC24	138	288	289	392	85	164
SLC6A9	321	532	1916	1656	119	470
LOC107984948	12	13	38	39	36	38
LOC124904168	2	0	3	1	0	2
KLF17	5	5	3	4	3	4
LOC124904169	0	0	1	0	0	0
KLF18	0	0	0	0	0	0
LOC124904170	1	0	1	0	1	0
DMAP1	678	1002	959	1232	839	889
ERI3	1081	1366	1937	2623	1512	1703
ERI3-IT1	7	6	28	23	24	35
SNORA110	0	0	0	2	1	0
RNF220	842	914	643	1201	979	897
MIR5584	0	1	0	0	0	0
LOC107984950	45	28	25	69	42	51
TMEM53	105	67	153	269	135	169
SNORD145	1	0	1	1	1	0
ARMH1	3	19	18	28	29	35
LOC105378690	1	12	2	2	2	5
RNU5F-1	1	0	0	0	0	0
RNU5D-1	7	2	0	1	0	1
KIF2C	966	225	343	698	1040	687
SNORD160	1	0	1	3	0	1
RPS8	18515	15735	19454	31711	20942	23569
SNORD55	103	361	69	79	68	40
SNORD46	12	25	5	17	4	4
SNORD38A	0	0	3	0	1	5
SNORD38B	26	20	8	10	16	12
BEST4	6	12	8	8	15	13
PLK3	972	1236	648	848	375	924
DYNLT4	30	12	39	29	7	37
BTBD19	416	165	989	834	30	511
PTCH2	72	112	152	136	91	63
LOC107984952	1	1	0	1	1	1
EIF2B3	779	495	715	822	1089	1013
HECTD3	1592	2779	1137	1401	1009	1172
UROD	2167	6361	2351	3303	3204	3149
ZSWIM5	61	80	107	222	381	205
LOC105378691	0	1	3	1	1	3
LINC01144	10	18	30	37	16	14
HPDL	36	20	26	46	35	28
MUTYH	233	273	258	382	301	234
TOE1	258	738	166	283	339	263
TESK2	110	443	218	223	35	112
CCDC163	63	839	37	52	25	40
MMACHC	212	447	296	382	304	346
PRDX1	4320	7930	3408	2954	3528	4176
AKR1A1	2333	2174	2658	3845	1732	2766
NASP	3034	1911	3031	2977	7756	5684
CCDC17	42	97	33	57	49	35
GPBP1L1	1723	2158	2211	2366	2220	2565
RPS15AP10	16	18	8	12	14	15
TMEM69	593	1074	702	781	1254	1143
IPP	195	455	375	393	428	601
LOC105378693	0	1	0	0	1	1
MAST2	3148	2905	3695	6176	4801	6341
LOC105378694	1	2	1	2	1	0
P3R3URF-PIK3R3	0	0	0	0	0	0
PIK3R3	125	90	507	321	486	669
LOC124904171	1	1	1	0	1	5
LOC101929626	2	3	7	7	10	8
TSPAN1	21	13	20	28	17	29
P3R3URF	0	0	0	0	0	0
POMGNT1	1887	1451	2830	4732	3714	4118
LURAP1	17	11	16	49	49	61
RAD54L	233	90	100	169	193	142
LRRC41	3335	8876	3866	4602	4072	4988
UQCRH	3395	6140	3579	8228	7053	5999
NSUN4	660	1291	757	854	765	945
FAAH	86	125	328	283	189	155
FAAHP1	7	15	4	1	0	12
LINC01398	0	0	1	0	0	1
DMBX1	7	7	0	6	1	2
TMEM275	1	1	1	1	1	0
MKNK1-AS1	11	11	12	13	9	4
KNCN	3	5	1	0	1	0
MKNK1	476	729	599	779	533	791
MOB3C	254	188	419	549	202	433
LOC105378697	0	3	1	2	1	1
ATPAF1	999	1258	2204	2905	2703	2980
TEX38	1	8	5	7	6	4
EFCAB14-AS1	3	0	1	5	1	2
EFCAB14	2665	2087	3633	3422	1821	2584
LOC105378698	10	4	11	5	8	10
LOC105378699	0	2	0	0	1	0
CYP4B1	0	0	18	2	1	1
CYP4Z2P	0	1	0	0	0	0
CYP4A11	0	1	1	0	0	0
CYP4X1	30	6	76	453	20	53
LOC124904172	0	4	1	0	1	0
CYP4Z1	2	4	2	8	3	0
CYP4A22	4	3	1	0	0	0
LOC105378701	2	5	18	9	4	4
LINC00853	4	2	2	4	6	5
PDZK1IP1	7	1	4	0	0	2
TAL1	9	14	4	6	20	6
STIL	519	258	193	191	257	187
CMPK1	3325	2848	3078	2688	2369	2977
LINC01389	5	5	13	9	5	5
FOXE3	9	16	4	7	0	0
FOXD2-AS1	20	44	33	53	2	7
FOXD2	7	19	21	42	0	3
LOC124904173	0	1	0	0	0	0
LINC01738	0	0	2	0	0	0
LOC124904174	0	0	0	1	0	0
TRABD2B	472	78	787	1388	98	246
LINC02794	19	11	67	16	2	7
SKINT1L	1	5	0	0	1	0
SLC5A9	18	5	56	38	6	6
SPATA6	74	54	155	169	188	202
LOC124904175	0	0	0	1	0	1
AGBL4	0	2	1	3	9	8
BEND5	39	8	117	309	296	158
LOC105378706	0	0	0	0	0	0
AGBL4-AS1	0	1	0	0	0	0
AGBL4-IT1	0	5	0	0	1	0
LOC107984954	0	0	0	0	0	0
LOC105378708	0	0	0	0	0	0
ELAVL4	3	3	0	1	332	0
LOC105378709	0	0	0	0	0	0
ELAVL4-AS1	0	0	0	0	2	1
LOC105378711	0	0	0	0	0	0
LOC105378710	0	1	0	0	0	0
LINC02808	1	0	0	0	0	1
DMRTA2	1	9	0	3	1	2
LOC105378714	0	0	0	0	0	0
FAF1	697	1021	847	1243	1849	1444
FAF1-AS1	12	26	22	40	30	38
LOC124904727	0	0	1	0	0	0
LOC124904176	0	2	1	4	0	3
CDKN2C	22	5	35	139	48	77
MIR4421	0	0	0	0	0	0
MIR6500	0	0	0	0	0	0
C1orf185	0	0	1	0	0	0
LINC01562	4	9	4	7	7	8
LOC124904818	0	0	0	0	0	0
RNF11	2523	3678	3385	4080	4310	5182
TTC39A	85	127	188	498	277	186
LOC124904177	1	4	3	4	2	2
TTC39A-AS1	1	0	0	4	1	0
EPS15	1625	1752	2942	3090	4081	4249
OSBPL9	3183	2790	4376	4630	6959	5583
EPS15-AS1	1	2	0	2	2	2
CALR4P	1	2	1	2	2	8
LOC105378719	0	1	0	1	0	0
LOC124900447	0	3	0	0	0	0
NRDC	3205	5075	3808	4151	4797	5692
MIR761	0	0	0	0	0	0
RAB3B	1560	2376	1053	740	179	997
TXNDC12	1921	3193	1806	2068	1298	1690
KTI12	0	0	0	0	0	0
TXNDC12-AS1	2	5	2	1	0	0
BTF3L4	1461	2041	2064	2362	2933	2464
LOC107984956	2	10	4	7	14	10
ZFYVE9	463	989	723	740	974	1044
CC2D1B	1471	1485	1097	1147	740	1158
ORC1	221	116	89	117	215	89
PRPF38A	1366	2572	1084	1281	2260	1953
TUT4	1615	1757	2020	1343	2146	2316
LOC105378723	0	3	0	1	1	1
GPX7	72	44	18	48	531	329
LOC124904178	1	7	2	1	3	0
SHISAL2A	1	4	0	2	4	1
COA7	775	1245	724	743	878	1028
ZYG11B	1191	1531	1584	1855	3091	3236
ZYG11A	25	83	16	13	18	16
ECHDC2	130	185	225	351	369	396
SCP2	1400	1378	3219	2594	4887	4572
PODN	62	116	292	934	599	632
SLC1A7	14	5	8	32	30	43
LOC105379783	1	1	1	0	0	0
LOC105378724	1	0	0	0	1	0
CPT2	419	516	647	815	717	794
CZIB	692	729	794	1135	873	869
MAGOH	841	2341	549	541	1168	995
MAGOH-DT	6	6	15	16	21	11
LRP8	344	74	382	521	657	400
LOC105378728	10	11	12	15	20	11
LOC105378726	6	5	5	3	6	4
LRP8-DT	2	0	1	1	1	0
LOC105378731	0	0	0	0	1	0
LINC02812	4	7	1	3	4	1
SLC25A3P1	0	0	0	0	0	0
LOC105378733	0	0	0	0	0	0
DMRTB1	1	0	0	3	1	0
GLIS1	9	5	34	304	1	6
LOC124904179	0	0	1	1	0	0
NDC1	1175	669	746	777	758	727
LOC124900439	0	0	0	0	0	0
YIPF1	443	1191	717	637	567	458
DIO1	20	5	5	2	0	1
LOC124904180	6	5	1	1	0	3
IFT25	718	565	434	501	628	577
LOC124904181	3	4	7	1	6	0
LRRC42	1756	1979	1034	1104	1316	1608
LDLRAD1	3	1	0	1	0	2
TMEM59	2804	8495	6412	6730	5016	6659
TCEANC2	326	483	411	544	471	539
MIR4781	0	0	0	0	0	0
CDCP2	2	2	11	5	0	1
CYB5RL	134	207	210	374	296	300
MRPL37	1991	5715	2164	2995	2356	2780
SSBP3	3898	2337	5688	5189	3338	3111
SSBP3-AS1	48	31	76	69	56	46
LOC105378735	0	0	0	0	2	0
LINC02784	0	1	0	0	1	0
ACOT11	126	96	863	1887	699	936
FAM151A	109	15	53	107	33	40
MROH7-TTC4	0	0	13	60	11	29
MROH7	0	0	8	21	7	11
TTC4	4	5	0	1	18	11
PARS2	162	210	226	190	191	211
TTC22	8	10	0	0	2	0
LOC124904182	0	1	0	1	0	0
LEXM	0	1	0	0	1	0
LOC124904183	0	0	0	0	1	0
DHCR24	8656	1166	5416	9717	2599	2440
DHCR24-DT	4	5	15	23	9	12
LOC124904184	0	0	1	3	0	1
TRK-CTT7-1	0	0	0	0	0	0
LOC105378736	0	0	0	0	0	0
TMEM61	0	1	3	0	0	0
BSND	2	2	1	1	1	1
PCSK9	39	4	88	209	43	47
USP24	2079	3233	1790	1649	3662	3690
LOC100507634	37	69	35	47	43	41
MIR4422HG	0	0	0	0	0	0
MIR4422	0	0	0	0	0	0
LOC105378740	0	0	15	2	0	2
LINC01753	0	0	0	0	0	0
LINC01755	0	0	0	0	0	0
LOC105378737	0	7	2	0	0	2
LOC105378741	0	0	1	1	0	0
LOC124904591	0	1	0	0	0	0
LOC124904188	0	4	0	2	0	1
LOC124904187	0	2	0	0	0	1
LOC124904190	0	0	0	0	0	0
LOC124904186	1	6	6	9	1	3
LOC124904185	7	8	2	6	8	6
LINC01767	2	1	1	0	0	0
LOC124904189	0	0	0	2	0	1
PLPP3	760	641	3550	2754	702	2613
LOC101929935	0	0	3	0	1	0
PRKAA2	185	444	608	887	3552	2828
FYB2	34	13	24	11	60	38
C8A	3	3	0	0	1	1
C8B	8	3	0	0	0	0
LOC112267900	5	6	88	111	54	27
DAB1	110	63	787	1137	702	336
LOC105378748	1	0	4	6	6	4
LOC105378747	2	4	0	0	0	0
DAB1-AS1	0	0	0	0	0	0
LOC105378746	1	1	0	0	0	0
LOC107984960	4	2	3	4	1	1
OMA1	38	67	130	140	208	241
TACSTD2	12	6	2	0	0	1
MYSM1	1054	1473	1510	1096	2095	2479
LOC112268263	0	3	0	0	4	0
LOC124904191	0	0	0	0	0	0
LOC105378751	0	0	0	1	0	0
JUN	8945	16385	6442	7429	7337	9456
LINC01135	0	0	2	4	6	1
LOC101926907	7	8	6	4	3	3
LOC107984961	0	3	0	0	0	0
LINC02777	7	6	1	0	5	5
